Hora;Submercado;1/1/2023;2/1/2023;3/1/2023;4/1/2023;5/1/2023;6/1/2023;7/1/2023;8/1/2023;9/1/2023;10/1/2023;11/1/2023;12/1/2023;13/1/2023;14/1/2023;15/1/2023;16/1/2023;17/1/2023;18/1/2023;19/1/2023;20/1/2023;21/1/2023;22/1/2023;23/1/2023;24/1/2023;25/1/2023;26/1/2023;27/1/2023;28/1/2023;29/1/2023;30/1/2023;31/1/2023;1/2/2023;2/2/2023;3/2/2023;4/2/2023;5/2/2023;6/2/2023;7/2/2023;8/2/2023;9/2/2023;10/2/2023;11/2/2023;12/2/2023;13/2/2023;14/2/2023;15/2/2023;16/2/2023;17/2/2023;18/2/2023;19/2/2023;20/2/2023;21/2/2023;22/2/2023;23/2/2023;24/2/2023;25/2/2023;26/2/2023;27/2/2023;28/2/2023;1/3/2023;2/3/2023;3/3/2023;4/3/2023;5/3/2023;6/3/2023;7/3/2023;8/3/2023;9/3/2023;10/3/2023;11/3/2023;12/3/2023;13/3/2023;14/3/2023;15/3/2023;16/3/2023;17/3/2023;18/3/2023;19/3/2023;20/3/2023;21/3/2023;22/3/2023;23/3/2023;24/3/2023;25/3/2023;26/3/2023;27/3/2023;28/3/2023;29/3/2023;30/3/2023;31/3/2023;1/4/2023;2/4/2023;3/4/2023;4/4/2023;5/4/2023;6/4/2023;7/4/2023;8/4/2023;9/4/2023;10/4/2023;11/4/2023;12/4/2023;13/4/2023;14/4/2023;15/4/2023;16/4/2023;17/4/2023;18/4/2023;19/4/2023;20/4/2023;21/4/2023;22/4/2023;23/4/2023;24/4/2023;25/4/2023;26/4/2023;27/4/2023;28/4/2023;29/4/2023;30/4/2023;1/5/2023;2/5/2023;3/5/2023;4/5/2023;5/5/2023;6/5/2023;7/5/2023;8/5/2023;9/5/2023;10/5/2023;11/5/2023;12/5/2023;13/5/2023;14/5/2023;15/5/2023;16/5/2023;17/5/2023;18/5/2023;19/5/2023;20/5/2023;21/5/2023;22/5/2023;23/5/2023;24/5/2023;25/5/2023;26/5/2023;27/5/2023;28/5/2023;29/5/2023;30/5/2023;31/5/2023;1/6/2023;2/6/2023;3/6/2023;4/6/2023;5/6/2023;6/6/2023;7/6/2023;8/6/2023;9/6/2023;10/6/2023;11/6/2023;12/6/2023;13/6/2023;14/6/2023;15/6/2023;16/6/2023;17/6/2023;18/6/2023;19/6/2023;20/6/2023;21/6/2023;22/6/2023;23/6/2023;24/6/2023;25/6/2023;26/6/2023;27/6/2023;28/6/2023;29/6/2023;30/6/2023
2;NORDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
2;NORTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
3;SUDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
3;SUL;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
3;NORDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
3;NORTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
4;SUDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
4;SUL;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
4;NORDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
4;NORTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
5;SUDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
5;SUL;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
5;NORDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
5;NORTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
6;SUDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
6;SUL;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
6;NORDESTE;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04;69,04
